booking_id,passenger_key,flight_id,booking_date,status,record_status,reject_reason,processed_at
B1000,0ec7791a73871e8b0861aa10cb6463f2fb14662de661dee674a163a0715826c8,AI192,2025-06-14 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1001,300157648fad5d6b5022b8db564c771b4c2a664921cd1b16064d0e2e5e22db39,6F026,2025-11-02 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1002,6449dca9721d77287fb2981b9ed9d1ed3ca4ad264adc6e9192669f25d5d1a50d,SJ010,2025-08-25 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1003,5adf5b4ebebb0ca26f00087113022f4f43e43c61e85ce5f9b2772b8e7f20e645,AI069,2025-12-30 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1004,30b09b0e0c0e6d44a9308797ee9e624372f2a5e8a55c12a5b3a111c02df3b7a8,UK003,2025-10-02 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1005,8e4dc79f7a90cd09a4e965e36a4ebeab755808b2240b30adde5a80d7f60a263a,AI048,2025-08-31 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1006,047b4fb03c2b4ca33c8e6d064537ba4fd22a032b962545707290355a750bb22d,AI140,2025-06-29 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1007,2821f6cf04a9e76de90c835074b7ebe9fd9317cec58ef8923d867efc2649f27c,UK167,2026-03-12 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1008,31f3557d1b55d767e323b4035aaa94298e270d852b888fa6ca24da93038f89d0,AI245,2025-09-07 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1009,9129176be94a360d9536c0d8ce292139994aae112995e2a28da01e4f2cae246f,SJ158,2025-04-28 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1010,60f871d6a4c7725edaa5013adfe5c8e248a870afe8828e9a310e25657830875e,AI155,2025-11-24 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1011,2e693356f5e829174705bbb59e0a4ab7ae9655037e345d7afa6cdc46f9964ae0,AI179,2025-10-25 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1012,4f5a316fba0e4be6f11454d81c1a1e0f21f1de06315d9c564f7b47c7a6f01f59,AI137,2025-08-15 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1013,cecee5bd96c8c5ea0417bbe4602a6e036a761e89cbd38a97b8cdaf952beb3d8e,SJ001,2025-07-20 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1014,26c67228c0e97d2bc8d44eaf2a8d18bc6508730a38c13dcfef6411bebac38709,SJ172,2025-09-15 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1016,cb85429c38fca570c5729e2aaa00a5de3fbf41eef28f5c7ca08fb0093316806d,UK027,2026-01-13 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1017,953da170d674ef52a3fa5808745602e78b58200cf2234a2caafc954a282f790b,UK067,2026-04-04 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1018,6b113d8b1a85ba5eb8b61b1d70225f343b4bd35b4df6094a8a7cfba8db80daed,6F196,2026-03-25 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1019,b23d79024cc864bb204d1333904b3073f5ea14592b028964b568a91475e2784e,6F164,2025-07-31 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1020,9d6540e2bd71f645b38708f6cc80a3fea83748834fd0ff42bba6f6a86c523efa,SJ112,2025-12-06 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1021,f09e3ac6cbc74d8f92da2c362cdcec12be5a695897f8af8b5f4fccb18962fe7b,6F190,2025-12-07 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1022,b39e61928b425909e99b0fc789c7b26547b1ae0525eed3342c23fb051ba9699d,AI080,2026-03-25 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1023,52c05a810c2081a0761d0f8fc9c4152d355ed4b32cab921ab3c10d13a697a447,6F213,2026-02-03 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1024,c3aa8402be83f22f03888b8a2c35ed7f73cc14fcc00a0f3a14cde13fb81a8fe7,AI115,2025-06-21 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1025,25cf9f26bf035bc6c68e4c4adc829e949671ee3b78a50e7657d3fc2cf82538b6,SJ049,2026-03-18 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1026,8147c618c0da90817c143d62b40326cc3a0e60c22f007b0d5fe9ab6142c49e90,AI058,2025-06-27 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1027,b0b616ed6e00345bb56979fbf6d24624db23005b98671da7ac4eaa097aa7ed12,UK036,2025-07-25 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1028,c1f02247e307c3d91e41079445d674df205c43a4ab745157d0b60a6f85413397,SJ239,2025-05-25 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1029,fb30c6012f7bcd339bc4b9d20046fe86bb93952c75b6f6a5b6fc17288ccca75a,6F025,2025-06-06 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1030,b025d78f0603d96800ab37c705f0f4546248a60a6e09d526680fdfb6177cbf3f,6F236,2026-03-18 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1031,d599ed872679fc8e7943157ef7d8702d470b7da34c022f7a056e2ed22f5f43bc,AI060,2025-11-16 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1032,bc5bab79e7ba1df1290bcf11fa1c46dd95fb3c8085f1ca47e2388c0b2102741d,UK021,2025-09-03 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1034,230d3ceee13f129a1908c5f8c0e96dd15631bbfb5808923193e2a94bd951e5b8,SJ179,2025-12-31 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1035,d48b4eb770c309d1945f386650d85c61f938db17a3a4efec50c93e4dd1b160e1,6F251,2025-08-21 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1036,e828922ca0d1095777a28235238c4922bce43d08e0247b4013fc415d20602881,SJ149,2025-11-24 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1037,e0549577f0fd0268238cfbc14508a9ca182ef00e19a58b5df9795b1e1973319c,AI188,2026-03-20 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1038,8fdd845021e462167cb6753bcdf32691bad181cc444cc2355d1b615722bf9051,SJ093,2026-01-01 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1039,f351f0a690677d85dab9d27ad5946129b18d95c8c7524c8dd3e75c9546d72a35,SJ205,2025-08-21 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1040,4ffac6b7b39f14b393c4db5306f500ab8d867727b84403573b02af6be083e3e0,6F099,2025-08-08 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1041,9adae57382bb3df9366fd605163ac2c2f9d14fe2f291c20445cc38225a140245,UK176,2025-05-28 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1042,7ff6703c385393eb2e385fd7e9e8a111c7925e1a9c9c02568ebcc7bb73c94b44,UK200,2025-12-02 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1043,bf03ba4477924ce0a5e983ce12e73d18eaffd13b1dc487d5dfee3a68b067328f,6F195,2025-11-22 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
