flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,is_overnight,route,flight_instance_key,reject_reason,record_status,processed_at
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,174.0,True,CCU-MAA,SJ010_20260420233841,,accepted,2026-09-11 07:11:20.739575+00:00
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,108.0,True,BOM-CCU,AI155_20260420233541,,accepted,2026-09-11 07:11:20.739575+00:00
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,105.0,True,BOM-CCU,UK094_20260420232641,,accepted,2026-09-11 07:11:20.739575+00:00
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,156.0,True,BOM-CCU,AI245_20260420230741,,accepted,2026-09-11 07:11:20.739575+00:00
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,299.0,True,MAA-BOM,AI192_20260420230541,,accepted,2026-09-11 07:11:20.739575+00:00
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,139.0,True,DEL-HYD,SJ158_20260420230541,,accepted,2026-09-11 07:11:20.739575+00:00
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,103.0,True,CCU-MAA,6F196_20260420230441,,accepted,2026-09-11 07:11:20.739575+00:00
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,92.0,True,BOM-HYD,AI080_20260420230341,,accepted,2026-09-11 07:11:20.739575+00:00
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,55.0,False,BLR-BOM,6F025_20260420230241,,accepted,2026-09-11 07:11:20.739575+00:00
6F251,Unknown,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,41.0,False,DEL-BLR,6F251_20260420225641,,accepted,2026-09-11 07:11:20.739575+00:00
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,148.0,True,BOM-DEL,AI137_20260420224941,,accepted,2026-09-11 07:11:20.739575+00:00
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,267.0,True,BOM-CCU,6F026_20260420224642,,accepted,2026-09-11 07:11:20.739575+00:00
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,181.0,True,DEL-MAA,UK167_20260420224541,,accepted,2026-09-11 07:11:20.739575+00:00
