payment_id,booking_id,amount,payment_method,reject_reason,record_status,processed_at
PAY1008,B1508,7277.14,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1018,B1798,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1019,B1875,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1024,B1523,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1026,B1120,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1033,B1012,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1034,B1602,4028.21,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1054,B1802,2072.55,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1059,B1641,14953.42,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1060,B1572,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1069,B1578,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1071,B1174,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1077,B1501,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1080,B1283,1369.37,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1104,B1404,7473.06,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1146,B1617,12237.51,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1159,B1223,1794.08,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1173,B1722,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1178,B1614,2806.52,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1184,B1019,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1186,B1132,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1189,B1033,9352.83,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1193,B1198,1830.32,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1207,B1159,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1213,B1725,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1220,B1805,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1238,B1273,5268.31,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1241,B1102,10265.07,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1244,B1844,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1249,B1816,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1256,B1124,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1257,B1536,6548.99,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1261,B1401,10393.94,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
