route,source,destination,flight_count,average_duration_minutes
BLR-BOM,BLR,BOM,60,147.73358166666668
BLR-CCU,BLR,CCU,21,128.52380952380952
BLR-DEL,BLR,DEL,19,156.94736842105263
BLR-HYD,BLR,HYD,19,155.68421052631578
BLR-MAA,BLR,MAA,16,187.3125
BOM-BLR,BOM,BLR,23,176.52238768115942
BOM-CCU,BOM,CCU,90,169.51122148148147
BOM-DEL,BOM,DEL,39,153.82063931623932
BOM-HYD,BOM,HYD,26,180.84615384615384
BOM-MAA,BOM,MAA,27,183.40740740740742
CCU-BLR,CCU,BLR,20,167.35024833333335
CCU-BOM,CCU,BOM,33,163.96999696969698
CCU-DEL,CCU,DEL,72,153.6111803240741
CCU-HYD,CCU,HYD,21,152.23833174603175
CCU-MAA,CCU,MAA,24,171.29187291666668
DEL-BLR,DEL,BLR,29,170.03482586206894
DEL-BOM,DEL,BOM,28,178.10714285714286
DEL-CCU,DEL,CCU,26,151.73076923076923
DEL-HYD,DEL,HYD,54,174.75925925925927
DEL-MAA,DEL,MAA,23,178.7826086956522
HYD-BLR,HYD,BLR,26,162.7694217948718
HYD-BOM,HYD,BOM,26,149.92307692307693
HYD-CCU,HYD,CCU,26,167.15384615384616
HYD-DEL,HYD,DEL,42,185.35737896825398
HYD-MAA,HYD,MAA,57,152.80727894736842
MAA-BLR,MAA,BLR,65,172.81553794871795
MAA-BOM,MAA,BOM,21,176.76214126984127
MAA-CCU,MAA,CCU,24,158.54166666666666
MAA-DEL,MAA,DEL,26,155.96173012820512
MAA-HYD,MAA,HYD,21,160.0
