dataset,column,row_count,data_type,null_count,null_percent,distinct_count,duplicate_row_count
bookings,booking_id,1000,object,0,0.0,1000,0
bookings,passenger_id,1000,object,0,0.0,636,0
bookings,flight_id,1000,object,0,0.0,984,0
bookings,booking_date,1000,datetime64[ns],0,0.0,552,0
bookings,status,1000,object,45,4.5,4,0
bookings,passport_number,1000,object,0,0.0,1000,0
bookings,seat_number,1000,object,0,0.0,202,0
bookings,emergency_contact_name,1000,object,0,0.0,998,0
bookings,emergency_contact_phone,1000,object,0,0.0,1000,0
flights,flight_id,1020,object,0,0.0,1004,15
flights,airline,1020,object,41,4.02,5,15
flights,source,1020,object,0,0.0,6,15
flights,destination,1020,object,0,0.0,6,15
flights,departure_time,1020,datetime64[ns],0,0.0,981,15
flights,arrival_time,1020,datetime64[ns],0,0.0,969,15
flights,duration,1020,object,0,0.0,270,15
payments,payment_id,1000,object,0,0.0,1000,0
payments,booking_id,1000,object,0,0.0,637,0
payments,amount,1000,object,48,4.8,922,0
payments,payment_method,1000,object,0,0.0,3,0
passengers,passenger_id,1039,object,0,0.0,1000,0
passengers,first_name,1039,object,0,0.0,31,0
passengers,last_name,1039,object,10,0.96,38,0
passengers,age,1039,int64,0,0.0,89,0
passengers,gender,1039,object,0,0.0,2,0
passengers,email,1039,object,0,0.0,1039,0
passengers,phone,1039,object,0,0.0,1039,0
passengers,aadhaar_id,1039,int64,0,0.0,1039,0
passengers,date_of_birth,1039,datetime64[ns],0,0.0,1011,0
